Date,Open,High,Low,Close
2023-12-15 00:00:00,41201,43010,41201,43010
2023-12-19 00:00:00,41992,42684,41411,42684
2023-12-23 00:00:00,42250,44004,42250,44004
2023-12-27 00:00:00,43752,43752,42516,42516
2023-12-31 00:00:00,43418,43418,42075,42221
2024-01-03 00:00:00,42208,44995,42208,44995
2024-01-07 00:00:00,42822,44196,42822,43956
2024-01-11 00:00:00,43884,46936,43884,46632
2024-01-15 00:00:00,46314,46314,41801,41801
2024-01-19 00:00:00,42587,43148,41261,41261
2024-01-23 00:00:00,41601,41626,39505,39505
2024-01-27 00:00:00,39833,41863,39833,41863
2024-01-31 00:00:00,42120,43268,42027,42892
2024-02-03 00:00:00,42583,43171,42583,43171
2024-02-07 00:00:00,42977,43088,42599,43088
2024-02-11 00:00:00,44247,47769,44247,47769
2024-02-15 00:00:00,48190,51790,48190,51790
2024-02-19 00:00:00,51958,52166,51685,52138
2024-02-23 00:00:00,51764,52287,51320,51320
2024-02-27 00:00:00,50841,54478,50841,54478
2024-02-29 00:00:00,57004,62559,57004,62559
2024-03-03 00:00:00,61298,62427,61298,62068
2024-03-07 00:00:00,63053,68187,63053,66146
2024-03-11 00:00:00,66945,68508,66945,68508
