Date,Open,High,Low,Close
2024-03-11 06:00:00,3853.85,3853.85,3853.85,3853.85
2024-03-11 06:30:00,3850.01,3853.73,3844.59,3853.73
2024-03-11 07:00:00,3850.96,3862.04,3843.67,3862.04
2024-03-11 07:30:00,3878.22,3953.74,3878.22,3953.55
2024-03-11 08:00:00,3965.8,4004.27,3965.8,4004.27
2024-03-11 08:30:00,4002.48,4009.05,3992.11,4008.66
2024-03-11 09:00:00,4007.12,4009.43,3993.06,4009.43
2024-03-11 09:30:00,4008.31,4012.59,4003.57,4003.57
2024-03-11 10:00:00,4005.66,4015.17,4005.66,4015.17
2024-03-11 10:30:00,4030.17,4034.77,4030.17,4034.32
2024-03-11 11:00:00,4030.27,4034.18,4027.16,4034.18
2024-03-11 11:30:00,4021.41,4029.97,4021.41,4027.89
2024-03-11 12:00:00,4021.24,4055.27,4021.24,4046.45
2024-03-11 12:30:00,4024.91,4041.08,4024.91,4041.08
2024-03-11 13:00:00,4047.8,4063.1,4047.8,4063.1
2024-03-11 13:30:00,4054.7,4056.61,4051.49,4056.61
2024-03-11 14:00:00,4054.28,4054.28,4021.07,4021.07
2024-03-11 14:30:00,4022.04,4054.96,4022.04,4051.85
2024-03-11 15:00:00,4039.82,4040.01,4033.55,4035.33
2024-03-11 15:30:00,4045.44,4052.46,4036.3,4036.31
2024-03-11 16:00:00,4042.02,4045.59,4030.08,4030.35
2024-03-11 16:30:00,4022.35,4028.22,4017.67,4021.41
2024-03-11 17:00:00,4032.81,4044.09,4032.81,4044.09
2024-03-11 17:30:00,4047,4047,4032.91,4042.59
2024-03-11 18:00:00,4039.09,4050.52,4039.09,4043.71
2024-03-11 18:30:00,4042.88,4072,4037.56,4072
2024-03-11 19:00:00,4074.79,4074.79,4053.46,4058.69
2024-03-11 19:30:00,4063.26,4063.54,4054.11,4054.11
2024-03-11 20:00:00,4051.6,4054.01,4033.31,4035.06
2024-03-11 20:30:00,4031.78,4039.02,4031.78,4035.55
2024-03-11 21:00:00,4035.71,4035.71,4031.45,4031.45
2024-03-11 21:30:00,4033.34,4040.52,4032.23,4040.52
2024-03-11 22:00:00,4047.55,4052.91,4046.21,4046.58
2024-03-11 22:30:00,4058.08,4058.68,4051.21,4058.68
2024-03-11 23:00:00,4060.96,4061.53,4056.06,4061.05
2024-03-11 23:30:00,4064.44,4072.23,4064.44,4071.05
2024-03-12 00:00:00,4079.21,4079.21,4070.6,4070.6
2024-03-12 00:30:00,4067.35,4085.78,4067.35,4082.64
2024-03-12 01:00:00,4081.06,4083.65,4070.59,4070.59
2024-03-12 01:30:00,4062.25,4070.9,4057.31,4066.06
2024-03-12 02:00:00,4066.7,4066.7,4060,4063.56
2024-03-12 02:30:00,4063.75,4063.75,4051.33,4051.33
2024-03-12 03:00:00,4054.03,4054.6,4048.94,4054.53
2024-03-12 03:30:00,4052.17,4053.07,4036.18,4036.18
2024-03-12 04:00:00,4044.2,4047.11,4036.72,4036.72
2024-03-12 04:30:00,4034.39,4050.2,4024.19,4047.64
2024-03-12 05:00:00,4046.07,4049.84,4035.85,4041.89
2024-03-12 05:30:00,4038.04,4042.89,4036.08,4037.82
2024-03-12 06:00:00,4036.28,4037.46,4033.8,4037.12
