Date,Open,High,Low,Close
2024-03-10 11:30:00,88.67,88.67,88.67,88.67
2024-03-10 12:00:00,88.72,88.86,88.72,88.79
2024-03-10 12:30:00,88.72,88.88,88.72,88.88
2024-03-10 13:00:00,88.74,88.74,88.05,88.12
2024-03-10 13:30:00,88.18,88.25,88.14,88.25
2024-03-10 14:00:00,88.16,88.22,87.88,87.88
2024-03-10 14:30:00,87.48,87.82,87.48,87.82
2024-03-10 15:00:00,87.9,87.9,87.03,87.38
2024-03-10 15:30:00,87.53,87.8,87.53,87.69
2024-03-10 16:00:00,87.91,87.91,87.74,87.78
2024-03-10 16:30:00,87.93,88.52,87.93,88.43
2024-03-10 17:00:00,88.44,88.64,88.44,88.55
2024-03-10 17:30:00,88.49,88.69,88.41,88.69
2024-03-10 18:00:00,88.73,88.73,88.58,88.58
2024-03-10 18:30:00,88.61,88.76,88.45,88.67
2024-03-10 19:00:00,88.77,88.84,88.58,88.58
2024-03-10 19:30:00,88.36,88.4,88.32,88.34
2024-03-10 20:00:00,88.27,88.38,88.23,88.38
2024-03-10 20:30:00,88.34,88.34,88.06,88.06
2024-03-10 21:00:00,88,88.05,87.92,88.05
2024-03-10 21:30:00,88.1,88.13,87.68,87.68
2024-03-10 22:00:00,87.59,87.79,87.56,87.58
2024-03-10 22:30:00,87.48,87.48,86.84,86.91
2024-03-10 23:00:00,86.93,86.93,86.49,86.49
2024-03-10 23:30:00,86.01,86.77,86.01,86.77
2024-03-11 00:00:00,87.11,87.52,87.08,87.52
2024-03-11 00:30:00,87.55,87.55,87.33,87.33
2024-03-11 01:00:00,87.17,87.17,85.12,85.12
2024-03-11 01:30:00,85.68,86.15,85.3,86.08
2024-03-11 02:00:00,85.84,85.91,85.3,85.91
2024-03-11 02:30:00,85.97,86.07,85.74,85.87
2024-03-11 03:00:00,85.78,86.14,85.78,86.14
2024-03-11 03:30:00,86.11,86.76,86.11,86.76
2024-03-11 04:00:00,86.79,86.79,86.55,86.75
2024-03-11 04:30:00,86.83,86.99,86.77,86.79
2024-03-11 05:00:00,86.81,86.84,86.77,86.81
2024-03-11 05:30:00,86.87,87.11,86.87,86.97
2024-03-11 06:00:00,86.83,86.83,86.63,86.63
2024-03-11 06:30:00,86.55,86.69,86.41,86.69
2024-03-11 07:00:00,86.63,86.96,86.44,86.96
2024-03-11 07:30:00,87.38,88.55,87.38,88.55
2024-03-11 08:00:00,89.1,90.72,89.1,90.65
2024-03-11 08:30:00,90.41,91.98,90.41,91.98
2024-03-11 09:00:00,91.74,93.23,91.74,93.23
2024-03-11 09:30:00,93.13,93.56,93.13,93.56
2024-03-11 10:00:00,93.95,94.09,93.77,93.98
2024-03-11 10:30:00,94.11,94.98,94.11,94.98
2024-03-11 11:00:00,94.73,95.12,94.7,95.12
2024-03-11 11:30:00,94.86,95.11,94.86,95.05
